run_id,User上链,自签名时间,Provider Create o-VC,Rule Judgment,Reviewer Verify o-VC,Reviewer Create and Sign o-VP,Transferor Verify o-VP,avg_cpu_percent,peak_memory_mb
1,0.6543350219726562,0.04317593574523926,0.4949791431427002,0.0002129077911376953,0.008128881454467773,0.4798247814178467,0.01834702491760254,6.183999999999999,38.6484375
2,0.5067200660705566,0.011497974395751953,0.4234800338745117,0.0001418590545654297,0.006924152374267578,0.4988222122192383,0.017869949340820312,6.063076923076921,39.1171875
3,0.5632467269897461,0.012038230895996094,0.40259790420532227,0.00014519691467285156,0.00722813606262207,0.49698805809020996,0.01704716682434082,5.217910447761193,39.15625
4,0.5774960517883301,0.018566131591796875,0.37741899490356445,0.00015115737915039062,0.0069577693939208984,0.5047202110290527,0.016244888305664062,6.138805970149254,39.21484375
5,0.4508230686187744,0.011323928833007812,0.5122029781341553,0.0001583099365234375,0.0068628787994384766,0.5032110214233398,0.01698470115661621,4.5208955223880585,39.25390625
6,0.47269392013549805,0.011975765228271484,0.44296693801879883,0.00018405914306640625,0.006745100021362305,0.5502169132232666,0.016009807586669922,4.795522388059703,39.26171875
7,0.42054176330566406,0.011404037475585938,0.5467979907989502,0.0002276897430419922,0.008365869522094727,0.4297919273376465,0.01613783836364746,5.812499999999999,39.265625
8,0.5464959144592285,0.011538982391357422,0.4902479648590088,0.00018405914306640625,0.006788730621337891,0.5047941207885742,0.01673603057861328,5.494285714285714,39.28125
9,0.3771231174468994,0.011317014694213867,0.4841268062591553,0.00021696090698242188,0.007586002349853516,0.5026559829711914,0.017698049545288086,6.332258064516128,39.29296875
10,0.4655129909515381,0.011438131332397461,0.48650074005126953,0.00021195411682128906,0.006705760955810547,0.4954042434692383,0.016530990600585938,5.361538461538461,39.296875
11,0.48543787002563477,0.012048959732055664,0.4904358386993408,0.0002079010009765625,0.007047891616821289,0.4892241954803467,0.016170024871826172,6.054545454545455,39.3125
12,0.482119083404541,0.01459193229675293,0.47426295280456543,0.00021314620971679688,0.00689697265625,0.5720369815826416,0.016134977340698242,5.151470588235291,39.3125
13,0.4108569622039795,0.011584997177124023,0.5673599243164062,0.0002238750457763672,0.0069849491119384766,0.4140949249267578,0.016605854034423828,4.5953124999999995,39.3359375
14,0.5649089813232422,0.011446714401245117,0.3865668773651123,0.0002319812774658203,0.0070650577545166016,0.49720311164855957,0.016355037689208984,5.443939393939394,39.3359375
15,0.48569512367248535,0.011603832244873047,0.504378080368042,0.0002491474151611328,0.006832122802734375,0.5044019222259521,0.016204118728637695,5.132352941176471,39.3359375
16,0.48340797424316406,0.011523008346557617,0.5920968055725098,0.00030303001403808594,0.00710606575012207,0.4028329849243164,0.01618194580078125,4.96268656716418,39.35546875
17,0.4805130958557129,0.011505126953125,0.4685959815979004,0.00027871131896972656,0.012121200561523438,0.4921841621398926,0.016921281814575195,5.700000000000001,39.3671875
18,0.4696381092071533,0.012029886245727539,0.5211710929870605,0.0002639293670654297,0.006867885589599609,0.5047159194946289,0.016194820404052734,4.982352941176471,39.3671875
19,0.4712851047515869,0.011219024658203125,0.4897580146789551,0.000293731689453125,0.007249116897583008,0.4365580081939697,0.01635885238647461,5.649206349206349,39.375
20,0.5599548816680908,0.013160228729248047,0.4084279537200928,0.0002789497375488281,0.006824970245361328,0.5843930244445801,0.0170290470123291,5.156338028169016,39.375
21,0.3999669551849365,0.011317968368530273,0.48088693618774414,0.00028705596923828125,0.007141828536987305,0.5053670406341553,0.016208887100219727,6.041935483870968,39.375
22,0.4879930019378662,0.011526823043823242,0.4893360137939453,0.0002918243408203125,0.007089138031005859,0.5119569301605225,0.017156124114990234,4.776470588235291,39.37890625
23,0.439910888671875,0.01167917251586914,0.47934913635253906,0.000308990478515625,0.0066318511962890625,0.5439820289611816,0.0160369873046875,4.953030303030302,39.37890625
24,0.47683286666870117,0.011887073516845703,0.48975276947021484,0.0003230571746826172,0.006997823715209961,0.45815587043762207,0.016175031661987305,5.521875,39.3828125
25,0.5303769111633301,0.011900186538696289,0.47268199920654297,0.00031495094299316406,0.007103919982910156,0.50484299659729,0.018112897872924805,4.898550724637681,39.38671875
26,0.4201080799102783,0.011636018753051758,0.5592668056488037,0.000335693359375,0.0068929195404052734,0.5047800540924072,0.016911029815673828,5.1850746268656716,39.38671875
27,0.4766669273376465,0.011466026306152344,0.48969388008117676,0.00034809112548828125,0.006947040557861328,0.39757490158081055,0.016299962997436523,6.066129032258063,39.38671875
28,0.47734665870666504,0.011571168899536133,0.5024440288543701,0.0003509521484375,0.006916999816894531,0.4869368076324463,0.016560077667236328,5.767164179104477,39.390625
29,0.4961280822753906,0.011687278747558594,0.4514129161834717,0.0003540515899658203,0.007627964019775391,0.5415470600128174,0.01709914207458496,5.382352941176471,39.39453125
